artist_name,region,date
Db808,Global,02/12/2023
Db808,Global,02/13/2023
Db808,Global,02/14/2023
Db808,Global,02/15/2023
Db808,Global,02/16/2023
Db808,Global,02/17/2023
Db808,Global,02/18/2023
Db808,Global,02/19/2023
Db808,Global,02/20/2023
Db808,Global,02/21/2023
Db808,Global,02/22/2023
Db808,Global,02/23/2023
Db808,Global,02/24/2023
Db808,Global,02/25/2023
Db808,Global,02/26/2023
Db808,Global,02/27/2023
Db808,Global,02/28/2023
Db808,Global,03/01/2023
Db808,Global,03/02/2023
Db808,Global,03/03/2023
Db808,Global,03/04/2023
Db808,Global,03/05/2023
Db808,Global,03/06/2023
Db808,Global,03/07/2023
Db808,Global,03/08/2023
Db808,Global,03/09/2023
Db808,Global,03/10/2023
Db808,Global,03/11/2023
Db808,Global,03/12/2023
Db808,Global,03/13/2023
Db808,Global,03/14/2023
Db808,Global,03/15/2023
Db808,Global,03/16/2023
Db808,Global,03/17/2023
Db808,Global,03/18/2023
Db808,Global,03/19/2023
Db808,Global,03/20/2023
Db808,Global,03/21/2023
Db808,Global,03/22/2023
Db808,Global,03/23/2023
Db808,Global,03/24/2023
Db808,Global,03/25/2023
Db808,Global,03/26/2023
Db808,Global,03/27/2023
Db808,Global,03/28/2023
Db808,Global,03/29/2023
Db808,Global,03/30/2023
19thou,US,01/01/2023
19thou,US,01/02/2023
19thou,US,01/03/2023
19thou,US,01/04/2023
19thou,US,01/05/2023
19thou,US,01/06/2023
19thou,US,01/07/2023
19thou,US,01/08/2023
19thou,US,01/09/2023
19thou,US,01/10/2023
19thou,US,01/11/2023
19thou,US,01/12/2023
19thou,US,01/13/2023
19thou,US,01/14/2023
19thou,US,01/15/2023
19thou,US,01/16/2023
19thou,US,01/17/2023
19thou,US,01/18/2023
19thou,US,01/19/2023
19thou,US,01/20/2023
19thou,US,01/21/2023
19thou,US,01/22/2023
19thou,US,01/23/2023
19thou,US,01/24/2023
19thou,US,01/25/2023
19thou,US,01/26/2023
19thou,US,01/27/2023
19thou,US,01/28/2023
19thou,US,01/29/2023
19thou,US,01/30/2023
19thou,US,01/31/2023
19thou,US,02/01/2023
19thou,US,02/02/2023
19thou,US,02/03/2023
19thou,US,02/04/2023
19thou,US,02/05/2023
19thou,US,02/06/2023
19thou,US,02/07/2023
19thou,US,02/08/2023
19thou,US,02/09/2023
19thou,US,02/10/2023
19thou,US,02/11/2023
19thou,US,02/12/2023
19thou,US,02/13/2023
19thou,US,02/14/2023
19thou,US,02/15/2023
19thou,US,02/16/2023
19thou,US,02/17/2023
19thou,US,02/18/2023
19thou,US,02/19/2023
19thou,US,02/20/2023
19thou,US,02/21/2023
19thou,US,02/22/2023
19thou,US,02/23/2023
19thou,US,02/24/2023
19thou,US,02/25/2023
19thou,US,02/26/2023
19thou,US,02/27/2023
19thou,US,02/28/2023
19thou,US,03/01/2023
19thou,US,03/02/2023
19thou,US,03/03/2023
19thou,US,03/04/2023
19thou,US,03/05/2023
19thou,US,03/06/2023
19thou,US,03/07/2023
19thou,US,03/08/2023
19thou,US,03/09/2023
19thou,US,03/10/2023
19thou,US,03/11/2023
19thou,US,03/12/2023
19thou,US,03/13/2023
19thou,US,03/14/2023
19thou,US,03/15/2023
19thou,US,03/16/2023
19thou,US,03/17/2023
19thou,US,03/18/2023
19thou,US,03/19/2023
19thou,US,03/20/2023
19thou,US,03/21/2023
19thou,US,03/22/2023
19thou,US,03/23/2023
19thou,US,03/24/2023
19thou,US,03/25/2023
19thou,US,03/26/2023
19thou,US,03/27/2023
19thou,US,03/28/2023
19thou,US,03/29/2023
19thou,US,03/30/2023
19thou,Global,01/01/2023
19thou,Global,01/02/2023
19thou,Global,01/03/2023
19thou,Global,01/04/2023
19thou,Global,01/05/2023
19thou,Global,01/06/2023
19thou,Global,01/07/2023
19thou,Global,01/08/2023
19thou,Global,01/09/2023
19thou,Global,01/10/2023
19thou,Global,01/11/2023
19thou,Global,01/12/2023
19thou,Global,01/13/2023
19thou,Global,01/14/2023
19thou,Global,01/15/2023
19thou,Global,01/16/2023
19thou,Global,01/17/2023
19thou,Global,01/18/2023
19thou,Global,01/19/2023
19thou,Global,01/20/2023
19thou,Global,01/21/2023
